JAN,15893.93,16815.27,16122.13,16072.2,18055.4
FEB,16415.4,16008.07,17029.53,14826.93,17882
MAR,17338.8,17236,17287.33,15466.27,18623.13
APR,17489.67,17365.33,17919.13,17454.07,19080
MAY,17438.07,16930.4,17528.2,17751.4,18896.13
JUN,17235.67,16865.93,18158.67,17412.33,19151.53
JUL,17096.93,16460.53,17766.87,17329.2,12894.07
AUG,16105.4,14909.87,16532.73,16121.13,12867.8
SEP,15599.27,20493.27,16295.33,16711.53,0
OCT,16725.8,15890.8,16844.33,16401.53,0
NOV,16240.2,15712.47,15643.07,16491.2,0
DEC,16512.2,16633.33,15142.53,17428.87,0
