JAN,70115.41,1630.8,38174.67,184.6,320780.99,12855.5,0,0,965.17,55925.75,512.5,0,0
FEB,62284.94,2248.87,25209.93,123.1,343348.59,14535.5,0,0,1911.17,45416,175,0,0
MAR,70121.91,2349.53,33530.34,90.75,366173.79,6415.5,0,0,754,55416,487.5,0,0
APR,93059.56,2362.4,40371.4,61.9,398566.99,20394.5,0,0,955,63105.25,422.5,0,0
MAY,86033.55,2238.33,42249.54,46.75,393217.19,11035.5,0,0,988.67,62197,337.5,0,0
JUN,82782.93,2445.93,42205.74,35.4,405016.19,9072,0,0,1487.17,70596.5,1637.5,0,0
JUL,80210.99,1816.47,41205.54,45.6,356495.39,11238.5,0,0,1007.33,61316,327.5,0,0
AUG,77738.49,1803.87,38348.74,40.05,368726.79,14941.5,0,0,951.17,63870,430,0,0
SEP,86010.39,1934.4,49682.94,24.7,392034.99,39189.5,0,0,1091,77054.25,707.5,0,0
OCT,93508.16,2107.8,50734.74,13.25,376054.59,56000,0,0,862,89142.5,697.5,0,0
NOV,88000.44,1761.8,49253.27,12.6,374945.99,52710,0,0,771.83,88409.75,3050,0,0
DEC,85940.35,1970.47,55345.2,35.15,423103.39,38384.5,0,0,2163.67,86386.25,1612.5,0,0
