JAN,1630.8,184.6,320780.99
FEB,2248.87,123.1,343348.59
MAR,2349.53,90.75,366173.79
APR,2362.4,61.9,398566.99
MAY,2238.33,46.75,393217.19
JUN,2445.93,35.4,405016.19
JUL,1816.47,45.6,356495.39
AUG,1803.87,40.05,368726.79
SEP,1934.4,24.7,392034.99
OCT,2107.8,13.25,376054.59
NOV,1761.8,12.6,374945.99
DEC,1970.47,35.15,423103.39
