JAN,317915.19,227125,218633.4,234429.8,285857.79
FEB,309147.59,210790.4,243298.59,256316.59,286782.39
MAR,314607.79,241214.79,264582.79,283152.99,314322.59
APR,291290.39,252259.39,265033.59,301424.19,309878.99
MAY,271133.19,249214.19,269343.79,307790.59,305297.39
JUN,266565.39,256334.99,324479.39,306806.19,308034.39
JUL,258013.99,242815.59,274992.59,267853.39,221779.8
AUG,205969.6,196576.4,249628.19,273092.79,248252.79
SEP,223514,229857.4,290420.99,281036.99,0
OCT,268883.79,192201.8,286211.99,267724.59,0
NOV,242778.79,143681,253381.79,255957.79,0
DEC,227387.2,167863.2,226734,284670.99,0
