JAN,36363.39,41610.76,46926.92,49769.66,55838.22
FEB,27056.12,41164.39,48378.01,48988,56050.01
MAR,34597.44,42801.35,47312.85,49810.34,56249.2
APR,31021.1,43152.7,50548.03,53865.91,56169.07
MAY,30973.75,42470.6,50013.81,55208.34,56321.04
JUN,31600.95,43536.03,52823.86,52833.65,56887.25
JUL,34194.54,42184.3,51070.76,50840.47,37321.06
AUG,25452.96,38653.1,47356.64,49645.15,37600.54
SEP,32361.36,43205.25,49255.86,54597.9,0
OCT,37047.95,44039.75,50641.29,52224.05,0
NOV,38811.28,45193.63,48392.53,51501.29,0
DEC,40653.36,46918.56,47437.76,53501.28,0
