JAN,94645,1498.73,53796.27,17,427229.59,28535.5,0,0,623.67,87581.5,6837.5,0,0
FEB,98154.49,1419.93,53711.2,6.6,425757.59,24668,0,0,808.17,93314.25,10700,0,0
MAR,106386.22,1437.4,66494.47,11.85,468109.79,19453,0,0,729.67,102302.75,470,0,0
APR,109053.55,1584,60972.74,21.2,454199.39,17769.5,0,0,559.67,108839.5,402.5,0,0
MAY,109657.62,1767,62187.8,4.6,461269.59,16243.5,0,0,886,107674.75,782.5,49.4,0
JUN,109278.86,1587.07,71123.27,4.25,435803.99,10948,0,0,608.33,100991.25,1032.5,3.8,0
JUL,100878.59,1449.07,64201.6,2.05,329516.39,7413,0,0,928.83,92343.5,610,11.4,0
AUG,97447.39,1310.87,55094.54,0.05,347244.79,6965,0,0,614.67,86432.75,1105,159.6,0
SEP,34852.23,676.93,13338.53,2.35,223196.6,2415,0,0,10,16525,845,0,0
OCT,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,0,0,0,0,0,0,0,0,0,0,0,0,0
DEC,0,0,0,0,0,0,0,0,0,0,0,0,0
